r,L,M,S
444.5,0.0444874,0.074794,0.993605
444.6,0.0445768,0.0750104,0.993188
444.7,0.0446665,0.0752273,0.992769
444.8,0.0447565,0.0754447,0.99235
444.9,0.044847,0.0756627,0.991931
445,0.044938,0.0758812,0.991515
445.1,0.0450294,0.0761004,0.991102
445.2,0.0451214,0.0763202,0.990691
445.3,0.0452138,0.0765406,0.990282
445.4,0.0453066,0.0767615,0.989873
445.5,0.0453999,0.0769831,0.989464
445.6,0.0454937,0.0772051,0.989054
445.7,0.0455879,0.0774276,0.98864
445.8,0.0456825,0.0776507,0.988224
445.9,0.0457775,0.0778741,0.987803
446,0.0458729,0.078098,0.987377
446.1,0.0459687,0.0783223,0.986945
446.2,0.0460648,0.0785469,0.986506
446.3,0.0461613,0.0787719,0.986058
446.4,0.0462582,0.0789972,0.985602
446.5,0.0463554,0.0792227,0.985135
446.6,0.0464529,0.0794485,0.984658
446.7,0.0465507,0.0796746,0.984168
446.8,0.0466488,0.0799008,0.983666
446.9,0.0467472,0.0801272,0.98315
447,0.0468459,0.0803538,0.982619
447.1,0.0469448,0.0805804,0.982073
447.2,0.047044,0.0808071,0.98151
447.3,0.0471434,0.0810339,0.98093
447.4,0.047243,0.0812607,0.980331
447.5,0.0473429,0.0814874,0.979713
447.6,0.0474429,0.0817141,0.979075
447.7,0.0475431,0.0819408,0.978415
447.8,0.0476435,0.0821673,0.977734
447.9,0.047744,0.0823936,0.977029
448,0.0478446,0.0826198,0.976301
448.1,0.0479454,0.0828458,0.975548
448.2,0.0480463,0.0830715,0.97477
448.3,0.0481473,0.083297,0.973964
448.4,0.0482483,0.0835221,0.973132
448.5,0.0483495,0.0837469,0.972271
448.6,0.0484506,0.0839713,0.971381
448.7,0.0485518,0.0841953,0.970461
448.8,0.0486531,0.0844188,0.96951
448.9,0.0487543,0.0846419,0.968528
449,0.0488555,0.0848644,0.967513
449.1,0.0489568,0.0850863,0.966464
449.2,0.0490579,0.0853077,0.965382
449.3,0.049159,0.0855284,0.964264
449.4,0.0492601,0.0857484,0.963111
449.5,0.049361,0.0859678,0.961921
449.6,0.0494619,0.0861863,0.960693
449.7,0.0495626,0.0864041,0.959427
449.8,0.0496632,0.0866211,0.958123
449.9,0.0497637,0.0868372,0.956778
450,0.0498639,0.0870524,0.955393
450.1,0.049964,0.0872667,0.953967
450.2,0.050064,0.0874801,0.952501
450.3,0.0501638,0.0876927,0.950997
450.4,0.0502636,0.0879045,0.949455
450.5,0.0503633,0.0881157,0.947878
450.6,0.0504629,0.0883263,0.946266
450.7,0.0505626,0.0885363,0.94462
450.8,0.0506622,0.0887459,0.942943
450.9,0.050762,0.0889551,0.941236
451,0.0508618,0.089164,0.939499
451.1,0.0509618,0.0893726,0.937734
451.2,0.051062,0.0895811,0.935942
451.3,0.0511623,0.0897895,0.934126
451.4,0.0512629,0.0899979,0.932285
451.5,0.0513637,0.0902064,0.930421
451.6,0.0514649,0.090415,0.928536
451.7,0.0515663,0.0906238,0.926631
451.8,0.0516682,0.0908329,0.924707
451.9,0.0517704,0.0910423,0.922766
452,0.0518731,0.0912523,0.920807
452.1,0.0519762,0.0914628,0.918834
452.2,0.0520799,0.0916739,0.916847
452.3,0.0521841,0.0918857,0.914847
452.4,0.0522889,0.0920983,0.912836
452.5,0.0523943,0.0923117,0.910814
452.6,0.0525003,0.0925261,0.908783
452.7,0.052607,0.0927416,0.906744
452.8,0.0527145,0.0929582,0.904699
452.9,0.0528227,0.0931759,0.902648
453,0.0529317,0.093395,0.900592
453.1,0.0530416,0.0936155,0.898533
453.2,0.0531523,0.0938375,0.896472
453.3,0.053264,0.094061,0.894411
453.4,0.0533766,0.0942862,0.892349
453.5,0.0534902,0.0945132,0.890288
